"","PID","county","state","area","popdensity","popwhite","popblack","popamerindian","popother","percwhite","percblack","percamerindan","percasian","percother","popadults","perchsd","percollege","percprof","poppovertyknown","percpovertyknown","percbelowpoverty","percchildbelowpovert","percadultpoverty","percelderlypoverty","inmetro","category","total","asian","per","asianper"
"16",576,"COOK","IL",0.058,88018.3966,3204947,1317147,10289,384119,62.7797245,25.8007779,0.20154486,3.69368316,7.52426951,3291995,73.4058223,28.0181167,8.32996405,5023523,98.402685,14.1983027,22.2934971,11.6655424,10.8252688,1,"AAU",5105067,188565,3.69368315832094,"large"
"17",577,"CRAWFORD","IL",0.026,748.615385,19300,63,34,19,99.1574188,0.32367448,0.17468146,0.24660912,0.09761611,13317,76.0306375,16.9858076,3.33408425,19123,98.2480477,10.5370496,13.809825,8.87024273,10.8033875,0,"AAR",19464,48,0.246609124537608,"small"
"18",578,"CUMBERLAND","IL",0.02,533.5,10627,5,6,6,99.5970009,0.04686036,0.05623243,0.24367385,0.05623243,6727,72.2461721,14.5978891,2.69064962,10590,99.2502343,12.0491029,13.6031851,9.8222638,15.2846257,0,"AAR",10670,26,0.243673851921275,"small"
"19",579,"DE KALB","IL",0.038,2050.84211,72968,2069,123,1021,93.6303444,2.65487861,0.1578299,2.24683057,1.31011651,41817,83.8797618,32.835928,11.1509673,69127,88.7016887,13.5446352,8.67823765,17.0474188,6.45390792,1,"HAU",77932,1751,2.24683057024072,"large"
"20",580,"DE WITT","IL",0.023,718.086957,16387,25,37,24,99.2189392,0.15136837,0.22402519,0.2603536,0.14531364,10941,74.6458276,16.1959601,3.30865552,16238,98.3167837,10.3153098,13.568426,7.95599305,12.2553448,0,"AAR",16516,43,0.260353596512473,"small"
"21",581,"DOUGLAS","IL",0.025,778.56,19280,16,19,108,99.054665,0.08220304,0.09761611,0.21064529,0.55487053,12550,74.0318725,16.8685259,3.84063745,19140,98.3353884,9.62904911,13.2935431,7.92479531,8.71436256,0,"AAR",19464,41,0.210645293875873,"small"
"22",582,"DU PAGE","IL",0.02,39083.3,714905,15462,962,10703,91.4591398,1.97808271,0.12307047,5.07045209,1.3692549,502321,88.5768264,42.7688669,11.9632665,771641,98.7174829,2.71473392,2.94525227,2.39906403,3.83824912,1,"HLU",781666,39634,5.07045208567342,"large"
"23",583,"EDGAR","IL",0.036,544.305556,19469,68,24,10,99.3569788,0.3470273,0.12248022,0.12248022,0.05103343,13082,73.5208684,16.8399327,3.67680783,19258,98.2801735,16.0037387,22.8276281,14.4809567,11.7620137,0,"AAR",19595,24,0.122480224547078,"small"
"24",584,"EDWARDS","IL",0.014,531.428571,7401,6,8,6,99.4758065,0.08064516,0.10752688,0.25537634,0.08064516,5019,69.6752341,16.9356446,2.45068739,7350,98.7903226,12.2040816,15.1598677,10.9502501,11.8595279,0,"AAR",7440,19,0.255376344086022,"small"
"25",585,"EFFINGHAM","IL",0.028,1132.28571,31523,12,45,29,99.4290941,0.03785011,0.14193793,0.29964673,0.09147111,19477,74.9550752,20.2751964,3.7839503,31229,98.5017663,8.99484454,11.599832,6.97446574,10.5174981,0,"AAR",31704,95,0.29964673227353,"small"
"26",586,"FAYETTE","IL",0.044,474.840909,20148,599,40,71,96.4342124,2.86698894,0.19145168,0.16752022,0.33982674,13894,68.7922844,13.6029941,2.98690082,19452,93.1029531,13.618137,16.6276347,12.1341463,13.4358289,0,"AAR",20893,35,0.167520222083952,"small"
"27",587,"FORD","IL",0.03,475.833333,14157,43,14,21,99.17338,0.30122592,0.09807356,0.28021016,0.14711033,9592,77.1684737,17.8273561,3.89908257,13860,97.0928196,9.26406926,13.5712279,7.32528768,8.78740157,0,"AAR",14275,40,0.280210157618214,"small"
"28",588,"FRANKLIN","IL",0.025,1612.76,40068,36,106,25,99.3774647,0.08928793,0.26290335,0.2083385,0.06200551,27214,66.6642169,14.7056662,2.43257147,39703,98.4721843,20.764174,31.074742,19.3135372,13.6794859,0,"LHR",40319,84,0.208338500458841,"small"
"29",589,"FULTON","IL",0.052,732.307692,37117,668,83,107,97.4711134,1.75420168,0.21796218,0.27573529,0.28098739,25592,73.847296,15.5321976,2.99703032,36393,95.5698529,15.494738,22.8122252,13.9965731,11.0196033,0,"AAR",38080,105,0.275735294117647,"small"
"30",590,"GALLATIN","IL",0.019,363.631579,6842,42,10,4,99.0302504,0.60790274,0.14473875,0.15921262,0.0578955,4680,58.4188034,11.3675214,2.69230769,6737,97.5104936,21.4338726,29.7246558,20.005596,16.2300319,0,"LHR",6909,11,0.1592126212187,"small"
"31",591,"GREENE","IL",0.033,464.151515,15231,14,50,5,99.4385323,0.09140171,0.32643468,0.11098779,0.03264347,10031,69.0459575,13.0495464,2.71159406,15096,98.5571587,15.5339163,20.0300827,13.444049,14.9431818,0,"AAR",15317,17,0.110987791342952,"small"
"32",592,"GRUNDY","IL",0.026,1243.73077,31864,21,45,294,98.5372793,0.06494109,0.13915948,0.34944491,0.90917525,20541,78.9640232,18.3778784,3.93846453,31979,98.8929091,6.6168423,6.93047172,5.32733914,10.4620084,1,"ALU",32337,113,0.349444908309367,"small"
"33",593,"HAMILTON","IL",0.025,339.96,8462,3,11,2,99.5646547,0.03529827,0.12942699,0.24708789,0.02353218,5859,59.9931729,14.0467657,2.61136713,8383,98.6351335,19.8496958,21.9232686,17.0501332,23.1419671,0,"LHR",8499,21,0.247087892693258,"small"
"34",594,"HANCOCK","IL",0.047,454.744681,21272,26,25,13,99.5274412,0.12164881,0.11697001,0.17311561,0.0608244,14322,77.5380533,20.6605223,3.86119257,20943,97.9881158,11.7843671,14.6202065,9.82946027,12.9152053,0,"AAR",21373,37,0.173115613156787,"small"
"35",595,"HARDIN","IL",0.009,576.555556,5062,85,16,13,97.5525149,1.63808056,0.30834458,0.25052997,0.25052997,3492,59.7365407,14.3184422,2.60595647,4954,95.4711891,26.7460638,35.1417004,25.1742835,21.1961302,0,"LHR",5189,13,0.250529967238389,"small"
"36",596,"HENDERSON","IL",0.023,352,8037,8,29,12,99.2712451,0.09881423,0.35820158,0.12351779,0.14822134,5467,73.349186,13.7735504,2.17669654,8030,99.1847826,12.9389788,15.6080748,10.2823529,16.2950257,0,"AAR",8096,10,0.123517786561265,"small"
"37",597,"HENRY","IL",0.051,1003.11765,49969,657,63,342,97.6739186,1.28423151,0.12314549,0.25020036,0.66850408,33423,77.1953445,18.7236334,4.22164378,50472,98.6571278,10.4790775,15.1772634,8.63526345,9.01154039,1,"AAU",51159,128,0.250200355753631,"small"
"38",598,"IROQUOIS","IL",0.067,459.507463,30154,164,43,357,97.9439374,0.53269237,0.13966934,0.22412057,1.15958034,20578,73.4376519,15.1666829,3.22674701,30189,98.0576217,9.19871476,11.6762716,7.9592631,9.10027978,0,"AAR",30787,69,0.224120570370611,"small"
"39",599,"JACKSON","IL",0.036,1696.30556,51991,6342,109,447,85.1376357,10.3853145,0.17849248,3.56657442,0.7319829,32172,78.767251,36.6436653,14.0898918,54230,88.8041004,28.37175,26.3922105,32.4584833,13.8153008,0,"AHR",61067,2178,3.56657441826191,"large"
"40",600,"JASPER","IL",0.029,365.827586,10574,1,11,6,99.6700914,0.00942596,0.10368555,0.1602413,0.05655575,6835,69.7000732,15.0256035,2.76517922,10511,99.076256,13.1005613,17.4379611,10.0076104,14.5622525,0,"AAR",10609,17,0.160241304552738,"small"
"41",601,"JEFFERSON","IL",0.033,1121.81818,34856,1924,56,55,94.1545111,5.19719071,0.15126958,0.34846029,0.14856834,24023,69.9038422,18.3698955,3.67980685,36495,98.5818476,16.0569941,21.1134991,13.6358867,15.631524,0,"AAR",37020,129,0.348460291734198,"small"
"42",602,"JERSEY","IL",0.023,893,20346,96,43,22,99.0603243,0.46740348,0.20935781,0.15580116,0.1071133,12847,71.9156223,14.7583093,3.13691913,19611,95.4817664,9.74453113,11.8255728,8.8343212,9.29971989,1,"AAU",20539,32,0.155801158771118,"small"
"43",603,"JO DAVIESS","IL",0.035,623.457143,21732,14,20,26,99.592136,0.06415838,0.09165483,0.1328995,0.11915128,14409,74.092581,16.4133528,3.4284128,21610,99.0330416,8.28782971,9.29164459,6.28398253,11.8393235,0,"AAR",21821,29,0.132899500481188,"small"
"44",604,"JOHNSON","IL",0.02,567.35,10230,1046,26,31,90.1559884,9.21829558,0.22913545,0.12338063,0.27319996,7922,66.1701591,14.3524363,3.43347639,9180,80.9024412,15.5555556,18.5350603,12.2665006,19.8775318,0,"LAR",11347,14,0.123380629241209,"small"
"45",605,"KANE","IL",0.029,10947.2759,269675,19006,620,23696,84.9447666,5.98668855,0.19529343,1.40926258,7.46398884,191807,77.7192699,27.5938834,7.01329983,310740,97.8798063,6.84655982,9.59040311,5.55167946,6.31380264,1,"ALU",317471,4474,1.40926257831424,"large"
"46",606,"KANKAKEE","IL",0.039,2468.07692,80194,14399,150,868,83.3141136,14.9592229,0.15583606,0.66905615,0.90177134,59821,73.0863744,17.6409622,3.99023754,92594,96.1965612,13.2967579,19.5983276,10.888062,10.2479647,1,"AAU",96255,644,0.669056152927121,"large"
"47",607,"KENDALL","IL",0.018,2189.61111,38019,210,73,887,96.4630959,0.53281912,0.18521808,0.5683404,2.25052648,24175,83.6773526,24.8893485,5.25336091,39199,99.4570319,3.38529044,4.42017237,2.35504872,5.87851078,1,"HLU",39413,224,0.568340395301043,"large"
"48",608,"KNOX","IL",0.042,1342.69048,52413,2860,85,715,92.9423865,5.07155143,0.15072793,0.56744631,1.26788786,37723,76.5660207,19.3436365,4.21228428,53106,94.1712624,13.8684894,19.6733764,12.8831741,9.73871734,0,"AAR",56393,320,0.567446314258862,"large"
"49",609,"LAKE","IL",0.028,18443.5,450666,34771,1198,17195,87.2676785,6.73311155,0.23198262,2.43756027,3.32966705,318475,84.7269016,37.8340529,11.4640082,495312,95.9130007,5.15977808,6.76712484,4.19193902,6.16443033,1,"HLU",516418,12588,2.43756027094331,"large"
"50",610,"LA SALLE","IL",0.068,1572.25,103805,1153,206,1226,97.0929634,1.07844696,0.19268003,0.48918279,1.14672678,70357,73.127052,16.8995267,3.43817957,104473,97.7177705,11.1014329,15.2417866,9.21209673,10.6971468,0,"AAR",106913,523,0.489182793486293,"large"
"51",611,"LAWRENCE","IL",0.022,726,15759,151,31,10,98.6664162,0.94540446,0.19408966,0.13148009,0.06260957,10950,69.2328767,14.5388128,1.94520548,15347,96.0869021,19.8475272,31.1128734,16.7597057,14.8832156,0,"AHR",15972,21,0.131480090157776,"small"
"52",612,"LEE","IL",0.043,799.813953,32530,1222,84,375,94.5859502,3.5531519,0.24424285,0.52628518,1.09036985,22661,76.2808349,18.476678,4.04218702,32162,93.5159339,8.8240781,10.5378832,7.71542507,9.5268748,0,"AAR",34392,181,0.526285182600605,"large"
"53",613,"LIVINGSTON","IL",0.062,633.887097,36551,2115,62,442,93.0027226,5.38154245,0.1577568,0.33332485,1.12465332,26084,74.1450698,14.5031437,2.94816746,35431,90.1529223,9.32516723,13.7011589,8.02005013,6.77040677,0,"AAR",39301,131,0.333324851784942,"small"
"54",614,"LOGAN","IL",0.036,855.5,29223,1291,37,104,94.8860316,4.19183064,0.12013767,0.46431586,0.33768427,20324,75.9004133,17.9492226,3.79846487,28104,91.2526787,10.7813834,12.8258458,9.96479107,10.3613632,0,"AAR",30798,143,0.464315864666537,"small"
"55",615,"MCDONOUGH","IL",0.034,1036.58824,32992,1254,65,131,93.6102599,3.55805243,0.18442856,2.27556464,0.37169447,18784,80.302385,27.9280239,10.3598807,28821,81.7756214,19.0520801,16.0093168,22.4033816,12.8843841,0,"HHR",35244,802,2.2755646351152,"large"
"56",616,"MCHENRY","IL",0.036,5090.02778,178895,310,299,2444,97.6282601,0.16917611,0.16317309,0.70562811,1.33376264,114721,84.5076316,28.0541488,6.41730808,181636,99.1241043,3.49159858,4.06964667,2.87024568,5.0644731,1,"HLU",183241,1293,0.705628107246741,"large"
"57",617,"MCLEAN","IL",0.068,1899.70588,121057,5563,203,733,93.7118749,4.30639418,0.15714507,1.25716055,0.5674253,72957,84.671793,33.8185507,9.00393382,117663,91.0845332,11.8754409,10.0105088,13.715404,7.2666025,1,"HAU",129180,1624,1.25716055116891,"large"
"58",618,"MACON","IL",0.035,3348.74286,102197,14135,157,211,87.1943416,12.0599628,0.13395219,0.43171851,0.18002491,76297,76.2113845,19.8618556,4.98446859,114042,97.3004795,12.7417969,19.2574786,10.9095835,8.98486907,1,"AAU",117206,506,0.431718512704128,"small"
"59",619,"MACOUPIN","IL",0.05,953.58,47077,379,94,41,98.7373896,0.79489922,0.19715179,0.18456763,0.08599174,31217,72.8192972,14.0083929,3.2546369,46387,97.2902116,13.2127536,18.5988943,10.8171077,12.460907,0,"AAR",47679,88,0.184567629354643,"small"
"60",620,"MADISON","IL",0.045,5538.62222,230217,16136,683,782,92.3683387,6.47413316,0.27403526,0.56973656,0.31375633,161517,75.8143106,19.6994744,4.94932422,245370,98.4480697,11.3387945,16.6709192,9.90305061,8.29181097,1,"AAU",249238,1420,0.569736557025815,"large"
"61",621,"MARION","IL",0.035,1187.45714,39647,1519,106,57,95.394721,3.65486875,0.2550468,0.55821563,0.13714781,27077,70.1259371,16.4493851,3.31277468,40800,98.1689565,16.3676471,22.3493101,13.9285714,14.7224835,0,"AAR",41561,232,0.558215634849979,"large"
"62",622,"MARSHALL","IL",0.023,558.521739,12752,17,30,19,99.2682547,0.13233691,0.23353573,0.21796668,0.14790596,8600,77.7790698,17.5348837,2.56976744,12563,97.7969796,9.38470111,11.4717933,7.50307503,11.3305613,0,"AAR",12846,28,0.217966682235715,"small"
"63",623,"MASON","IL",0.033,493,16180,8,27,16,99.4529473,0.04917327,0.1659598,0.23357305,0.09834655,10729,72.5789915,13.5054525,2.8986858,16025,98.5002151,15.5070203,24.1131352,12.8400955,11.6038007,0,"AAR",16269,38,0.23357305304567,"small"
"64",624,"MASSAC","IL",0.014,1053.71429,13804,870,37,10,93.5737527,5.89750542,0.25081345,0.210141,0.06778742,10068,65.3059197,14.034565,2.93007549,14348,97.2613883,16.7410092,22.9808251,14.9682372,14.3283582,0,"LAR",14752,31,0.210140997830803,"small"
"65",625,"MENARD","IL",0.018,620.222222,11101,9,29,11,99.4356861,0.08061627,0.25976353,0.12540308,0.09853099,7390,77.3071719,18.511502,3.51826793,10964,98.2085274,9.55855527,12.4503311,7.89163722,10.1449275,1,"AAU",11164,14,0.125403081332856,"small"
"66",626,"MERCER","IL",0.033,523.939394,17155,30,33,37,99.2192019,0.1735107,0.19086177,0.20242915,0.21399653,11357,77.3531743,16.4744211,3.11702034,17006,98.357432,10.1317182,11.4663727,9.01086957,11.4338123,0,"AAR",17290,35,0.202429149797571,"small"
"67",627,"MONROE","IL",0.023,974.869565,22262,13,53,37,99.2864151,0.05797877,0.23637499,0.25421461,0.1650165,14613,75.8639568,19.9206186,3.31896257,22071,98.4345732,4.81174392,4.77462437,4.21197857,6.83692471,1,"ALU",22422,57,0.254214610650254,"small"
"68",628,"MONTGOMERY","IL",0.041,749.463415,29956,559,49,98,97.4876334,1.81918771,0.15946368,0.21478782,0.31892736,20386,72.1917002,11.723732,2.5262435,29003,94.3862275,14.0295831,17.7958446,12.2912264,13.4700076,0,"AAR",30728,66,0.214787815673002,"small"
"69",629,"MORGAN","IL",0.033,1102.93939,34561,1510,48,148,94.9556282,4.14869357,0.131879,0.35717229,0.40662692,23605,75.9034103,20.7244228,5.65981784,33746,92.7164327,11.1954009,12.3290901,10.1418555,12.6183885,0,"AAR",36397,130,0.35717229441987,"small"
"70",630,"MOULTRIE","IL",0.021,663.333333,13884,8,22,3,99.6697775,0.05743001,0.15793252,0.09332376,0.02153625,9282,70.2865762,15.7185951,2.99504417,13356,95.879397,11.3432165,15.2669633,9.10269336,11.856585,0,"AAR",13930,13,0.0933237616654702,"small"
"71",631,"OGLE","IL",0.045,1021.26667,44895,66,87,773,97.6891442,0.14361251,0.1893074,0.2959288,1.68200709,29575,77.602705,18.7793745,3.47252747,45229,98.4159105,7.24535143,8.54618474,6.26131745,8.28708375,1,"ALU",45957,136,0.295928803011511,"small"
"72",632,"PEORIA","IL",0.038,4811.23684,154298,24892,312,1100,84.3956308,13.6150569,0.17065313,1.21699749,0.60166168,115963,77.9326164,25.838414,6.59003303,176647,96.6197553,14.5278437,21.8711768,12.4275854,10.3180428,1,"AAU",182827,2225,1.2169974894299,"large"
"73",633,"PERRY","IL",0.026,823.538462,20901,399,26,23,97.6134878,1.86344106,0.12142724,0.29422754,0.1074164,13921,67.839954,13.5622441,2.20530134,21090,98.4961704,15.8368895,20.8596713,13.3475898,15.8660508,0,"LAR",21412,63,0.294227535961143,"small"
"74",634,"PIATT","IL",0.025,621.92,15508,8,16,5,99.7427322,0.05145356,0.10290713,0.07074865,0.03215848,10458,82.950851,22.011857,5.19219736,15315,98.501415,6.13124388,7.06766917,4.61225953,9.16779432,0,"HLR",15548,11,0.0707486493439671,"small"
"75",635,"PIKE","IL",0.049,358.714286,17499,8,24,14,99.5562383,0.04551402,0.13654207,0.1820561,0.07964954,11820,69.856176,12.1742809,2.30964467,17365,98.7938784,17.9326231,23.3325587,15.0834773,18.2773589,0,"AHR",17577,32,0.182056096034591,"small"
"76",636,"POPE","IL",0.022,198.772727,4072,266,15,14,93.1168534,6.0827807,0.34301395,0.13720558,0.32014635,2821,65.1542006,14.2502659,2.48138958,4160,95.1292019,25.1682692,36.4729459,24.4148692,15.3611394,0,"LHR",4373,6,0.137205579693574,"small"
"77",637,"PULASKI","IL",0.011,683.909091,5032,2466,8,10,66.8882095,32.7794763,0.10634056,0.09304799,0.13292569,4816,59.7799003,14.3687708,2.20099668,7441,98.9100093,30.184115,40.0374181,23.867741,31.1619718,0,"LHR",7523,7,0.0930479861757278,"small"
"78",638,"PUTNAM","IL",0.01,573,5616,9,7,91,98.0104712,0.15706806,0.12216405,0.12216405,1.58813264,3783,75.8128469,16.5212794,3.43642612,5722,99.8603839,7.54980776,10.4780616,6.22734761,7.15517241,0,"AAR",5730,7,0.12216404886562,"small"
"79",639,"RANDOLPH","IL",0.036,960.638889,31532,2852,54,62,91.1777463,8.24682648,0.15614608,0.24000231,0.17927884,22847,64.2228739,12.7412789,2.95881297,30685,88.7285661,11.0021183,14.2925089,8.99560578,11.678487,0,"LAR",34583,83,0.240002313275309,"small"
"80",640,"RICHLAND","IL",0.022,752.045455,16442,17,24,19,99.3774554,0.10275008,0.14505893,0.25989725,0.11483832,10917,73.4908858,21.5077402,3.62737016,16228,98.0840133,13.9758442,18.6600613,12.0681606,12.94943,0,"AAR",16545,43,0.259897249924449,"small"
"81",641,"ROCK ISLAND","IL",0.028,5311.53571,133428,10488,354,3436,89.7157803,7.05203634,0.2380264,0.6838216,2.31033532,96715,77.3747609,21.3007289,4.49775112,144662,97.2694203,13.1845267,19.375,11.7520934,9.05748897,1,"AAU",148723,1017,0.68382160123182,"large"
"82",642,"ST CLAIR","IL",0.04,6571.3,187866,71275,585,1119,71.4721592,27.1160197,0.2225587,0.76354755,0.42571485,162550,72.5868963,21.184251,5.38911104,257438,97.9402858,17.43177,26.7291879,14.2654008,11.8686334,1,"AAU",262852,2007,0.763547547669411,"large"
"83",643,"SALINE","IL",0.022,1206.86364,25452,931,66,62,95.8607962,3.50645927,0.24857821,0.15065346,0.23351286,18020,63.2241953,15.4883463,3.63485017,25545,96.2110655,20.183989,26.6991079,18.6944068,16.8465816,0,"LHR",26551,40,0.150653459380061,"small"
"84",644,"SANGAMON","IL",0.051,3497.76471,162013,14364,290,342,90.8215891,8.05220141,0.16256881,0.77192156,0.19171908,117686,81.7709838,28.9881549,8.169196,175796,98.5480923,9.88816583,13.7008576,8.21267648,9.76442912,1,"HAU",178386,1377,0.771921563351384,"large"
"85",645,"SCHUYLER","IL",0.026,288.384615,7479,2,9,2,99.7465991,0.02667378,0.12003201,0.08002134,0.02667378,5090,69.410609,14.6365422,2.75049116,7365,98.2261937,16.496945,21.9134153,13.6461126,16.7800454,0,"AAR",7498,6,0.0800213390237397,"small"
"86",646,"SCOTT","IL",0.015,376.266667,5634,1,6,0,99.8228207,0.01771793,0.10630758,0.05315379,0,3732,73.6066452,13.0760986,2.25080386,5578,98.8306166,11.5274292,14.2564802,9.37067773,13.3606557,0,"AAR",5644,3,0.0531537916371368,"small"
"87",647,"SHELBY","IL",0.044,505.931818,22190,14,27,3,99.6810566,0.06289026,0.12128835,0.12128835,0.01347648,14745,72.7229569,15.9511699,3.78433367,22010,98.8724675,10.0045434,12.0917304,8.6534177,10.629843,0,"AAR",22261,27,0.121288351826064,"small"
"88",648,"STARK","IL",0.017,384.352941,6496,8,8,1,99.4184267,0.12243649,0.12243649,0.32139578,0.01530456,4396,77.0245678,16.8789809,2.9799818,6404,98.0104071,12.4609619,19.0391459,10.4477612,9.38748336,0,"AAR",6534,21,0.32139577594123,"small"
"89",649,"STEPHENSON","IL",0.033,1456.12121,44524,3081,58,85,92.6579539,6.41180388,0.12070257,0.63264796,0.1768917,31555,76.691491,19.8795753,3.8821106,47225,98.2789478,9.90788777,13.5032583,8.35417318,9.50578339,0,"AAR",48052,304,0.632647964704903,"large"
"90",650,"TAZEWELL","IL",0.039,3171.58974,122639,186,221,214,99.1486919,0.15037351,0.1786696,0.3492546,0.17301038,80310,78.5941975,20.0448263,3.92105591,121970,98.6078324,9.13257358,12.8933916,7.91641669,7.28836792,1,"AAU",123692,432,0.349254600135821,"small"
"91",651,"UNION","IL",0.024,734.125,17313,122,34,97,98.2632385,0.6924343,0.19297349,0.30081162,0.55054203,12092,64.2242805,17.8795898,4.00264638,16823,95.48215,18.1596624,24.9001996,14.6790039,19.010096,0,"LHR",17619,53,0.300811623815199,"small"
"92",652,"VERMILION","IL",0.052,1697.25,78956,7841,165,788,89.4614591,8.88428113,0.18695401,0.57445868,0.89284703,58087,72.751218,17.0571729,4.06114965,85119,96.4444747,15.2386659,22.5401872,13.0433821,11.4093571,0,"AAR",88257,507,0.574458683163942,"large"
"93",653,"WABASH","IL",0.012,1092.58333,12955,40,11,25,98.8101594,0.30508733,0.08389902,0.61017466,0.19067958,8520,74.870892,24.7300469,3.92018779,12849,98.001678,12.9426415,17.0275883,11.5272938,11.3899614,0,"AAR",13111,80,0.61017466249714,"large"
"94",654,"WARREN","IL",0.033,581.242424,18630,356,20,105,97.1273656,1.85600334,0.10426985,0.36494448,0.54741671,12220,76.309329,20.4582651,4.57446809,18323,95.5268234,14.2334771,18.9009662,12.8320964,11.7299162,0,"AAR",19181,70,0.364944476304677,"small"
"95",655,"WASHINGTON","IL",0.033,453.484848,14856,46,31,6,99.2716338,0.3073839,0.20715002,0.17373872,0.04009355,9906,65.7278417,15.9600242,2.44296386,14620,97.6946208,9.28180575,9.81610982,7.66360123,12.3771499,0,"LAR",14965,26,0.173738723688607,"small"
"96",656,"WAYNE","IL",0.042,410.5,17141,9,31,16,99.4199872,0.05220115,0.17980396,0.25520561,0.09280204,11613,63.0586412,15.6807027,2.75553259,17054,98.9153761,14.3954497,19.6855936,11.6169183,14.7752126,0,"LAR",17241,44,0.255205614523519,"small"
"97",657,"WHITE","IL",0.029,569.724138,16397,41,37,12,99.243433,0.24815398,0.22394383,0.21183876,0.07263043,11451,66.2212907,15.9287398,3.24862457,16152,97.7605617,19.0564636,27.0340525,16.4872384,16.7161961,0,"LHR",16522,35,0.211838760440625,"small"
